City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,atafu village,-8.5421,-172.5159,28.47,79,16,6.65,TK,1693296681
337,hobyo,5.3505,48.5268,29.43,61,1,11.77,SO,1693296682
338,jurm,36.8648,70.8342,29.02,13,0,3.36,AF,1693296683
339,isangel,-19.55,169.2667,21.56,85,100,6.22,VU,1693296683
340,ataq,14.5377,46.8319,33.64,29,15,5.89,YE,1693296684
341,banda aceh,5.5577,95.3222,30.59,64,68,7.97,ID,1693296590
342,laurel,39.0993,-76.8483,22.99,93,100,3.09,US,1693296686
343,kachkanar,58.7,59.4948,8.06,94,100,5.66,RU,1693296686
344,linhares,-19.3911,-40.0722,19.98,95,97,2.7,BR,1693296688
345,linxi,39.7,118.4333,27.62,47,0,3.0,CN,1693296689
346,ambon,-3.6954,128.1814,25.46,77,91,6.93,ID,1693296393
347,colonia,50.9333,6.95,16.64,83,75,1.54,DE,1693296689
348,santa elena de uairen,4.6167,-61.1333,21.4,76,68,0.69,VE,1693296690
349,george town,5.4112,100.3354,30.96,66,20,2.57,MY,1693296060
350,carolina,18.3808,-65.9574,28.35,89,20,0.0,PR,1693296691
351,puerto baquerizo moreno,-0.9,-89.6,23.5,80,100,5.44,EC,1693296691
352,daruvar,45.5906,17.225,24.78,51,96,3.23,HR,1693296537
353,aral,40.5156,81.2636,31.73,16,94,4.72,CN,1693296692
354,coruripe,-10.1256,-36.1756,23.55,91,16,3.78,BR,1693296693
355,lapinlahti,65.5833,30.5667,11.4,95,100,6.62,RU,1693296693
356,dalmatovo,56.26,62.9362,13.49,70,100,7.77,RU,1693296694
357,khandyga,62.6667,135.6,23.98,57,24,0.93,RU,1693296694
358,wynyard,-41.0,145.7167,12.15,91,100,1.88,AU,1693296624
359,shenandoah,30.4013,-91.0009,25.53,94,74,2.12,US,1693296695
360,tamanrasset,22.785,5.5228,30.95,23,0,1.03,DZ,1693296695
361,hadibu,12.65,54.0333,29.5,63,21,11.23,YE,1693296696
362,saryaghash,41.45,69.1667,29.96,15,2,1.96,KZ,1693296696
